Year,Export_Amount_ZMW,Export_Diff_ZMW,Import_Amount_ZMW,Trade_Balance_ZMW
2013,5444054685,5444054685,4212535962,1231518723
2014,4728379191,-715675494,4615030314,113348877
2015,5912951224,1184572033,7027243706,-1114292482
2016,6229539700,316588475,7285487048,-1055947348
2017,5334774393,-894765307,9433284582,-4098510189
2018,5593616750,258842358,9240986163,-3647369413
2019,6586587711,992970961,10404985616,-3818397905
2020,9703235317,3116647607,15463337948,-5760102631
2021,14166329560,4463094243,20134469812,-5968140252
2022,12948027052,-1218302507,22218941796,-9270914744
